ID_Demanda,Origen,Destino,Cantidad de Enlaces,Velocidad [Gbps],Ruta
R15,Rio Gallegos,Las Toninas,1,200,Rio Gallegos - Luis Piedrabuena - Puerto San Julian - Jaramillo - Caleta Olivia - Comodoro Rivadavia - Rawson - Trelew - Puerto Madryn - Sierra Grande - San Antonio Oeste - General Conesa - Rio Colorado - Algarrobo - Bahia Blanca - Tres Arroyos - Mar Del Plata - Pinamar - Las Toninas
R16,Manfredi,Chilecito,1,100,Manfredi - Cordoba - La Falda - Serrezuela - Patquia - Chilecito
R17,San Nicolas de los Arroyos,Vera,1,100,San Nicolas de los Arroyos - Rosario - San Fabian - Santa Fe - Rafaela - Sunchales - Ceres - Tostado - Vera
R18,La Quiaca,General Roca,1,300,La Quiaca - San Antonio de los Cobres - Santa Maria - Belen - Chilecito - Patquia - San Jose de Jachal - San Juan - Villa Media Agua - Villa Tulumaya - Mendoza - Tunuyan - San Rafael - Gral. Alvear - Santa Isabel - Catriel - Sargento Vidal - Neuquen - General Roca
R19,Rio Mayo,Corralito,1,200,Rio Mayo - Alto Rio Senguer - J. de San Martin - Tecka - Esquel - Epuyen - El Foyel - San Carlos de Bariloche - Dina Huapi - Villa La Angostura - San Martin de los Andes - Junin de los Andes - Zapala - Chos Malal - Buta Ranquil - Malargue - San Rafael - Tunuyan - Mendoza - Santa Rosa (Mza) - San Luis - V. Mercedes - Chucul - Hernando - Corralito
R20,Winifreda,Serrezuela,1,200,Winifreda - Victorica - Santa Isabel - Gral. Alvear - San Rafael - Tunuyan - Mendoza - Villa Tulumaya - Villa Media Agua - San Juan - Serrezuela
R21,Bolivar,Rio Grande,1,200,Bolivar - Olavarria - Azul - Tandil - Mar Del Plata - Tres Arroyos - Bahia Blanca - Viedma - San Antonio Oeste - Aguada Cecilio - Dina Huapi - San Carlos de Bariloche - El Foyel - Epuyen - Esquel - Tecka - J. de San Martin - Alto Rio Senguer - Rio Mayo - Perito Moreno - Bajo Caracoles - Gobernador Gregores - Tres lagos - El Calafate - Esperanza (StaCruz) - Rio Gallegos - El Condor - Estacion Cullen - San Sebastian - Rio Grande
R22,Leones,San Pedro BsAs,1,100,Leones - Cañada De Gomez - Rosario - San Nicolas de los Arroyos - San Pedro BsAs
R23,Puerto Madryn,Aristobulo del Valle,1,100,Puerto Madryn - Sierra Grande - San Antonio Oeste - Viedma - Bahia Blanca - Tres Arroyos - Mar Del Plata - Pinamar - Las Toninas - Abasto - La Plata - CABA - Benavidez - Exaltacion de la Cruz - Arrecifes - Pergamino - Rosario - Cañada De Gomez - Leones - San Marcos - Villa Maria - Manfredi - Cordoba - Jesus Maria - Dean Funes - Frias - Santiago del Estero - San Miguel de Tucuman - Choromoro - San Jose de Metan - Presidencia Roque Saenz Peña - Resistencia - Corrientes - Ituzaingo - Posadas - Jardin America - Puerto Iguazu - Aristobulo del Valle
R24,Hernando,Buta Ranquil,1,400,Hernando - Chucul - V. Mercedes - San Luis - Santa Rosa (Mza) - Mendoza - Tunuyan - San Rafael - Malargue - Buta Ranquil
R25,General Roca,Goya,1,200,General Roca - Neuquen - Sargento Vidal - Catriel - Santa Isabel - Gral. Alvear - San Rafael - Tunuyan - Mendoza - Santa Rosa (Mza) - San Luis - V. Mercedes - Chucul - Hernando - Corralito - Cordoba - Arroyito - San Francisco - Rafaela - Sunchales - Ceres - Tostado - Vera - Resistencia - Corrientes - Bellavista - Goya
R26,Rio Mayo,Campana,1,300,Rio Mayo - Alto Rio Senguer - J. de San Martin - Tecka - Esquel - Epuyen - El Foyel - San Carlos de Bariloche - Dina Huapi - Aguada Cecilio - San Antonio Oeste - Viedma - Bahia Blanca - Tres Arroyos - Mar Del Plata - Las Armas - Dolores - Chascomus - Abasto - Marcos Paz - Benavidez - San Antonio De Areco - Arrecifes - Pergamino - Rosario - San Nicolas de los Arroyos - San Pedro BsAs - Baradero - Zarate - Campana
R27,San Antonio Oeste,San Jose de Metan,1,100,San Antonio Oeste - Viedma - Bahia Blanca - Tres Arroyos - Mar Del Plata - Las Armas - Dolores - Chascomus - Abasto - Marcos Paz - Benavidez - San Antonio De Areco - Arrecifes - Pergamino - Rosario - San Fabian - Santa Fe - Parana - La Paz - Goya - Bellavista - Corrientes - Resistencia - Presidencia Roque Saenz Peña - San Jose de Metan
R28,Zapala,Ceres,1,100,Zapala - Chos Malal - Buta Ranquil - Malargue - San Rafael - Tunuyan - Mendoza - Santa Rosa (Mza) - San Luis - V. Mercedes - Chucul - Hernando - Corralito - Cordoba - Arroyito - San Francisco - Rafaela - Sunchales - Ceres
R29,Picun Leufu,Rio Gallegos,1,200,Picun Leufu - Piedra del Aguila - Dina Huapi - San Carlos de Bariloche - El Foyel - Epuyen - Esquel - Tecka - J. de San Martin - Alto Rio Senguer - Rio Mayo - Perito Moreno - Bajo Caracoles - Gobernador Gregores - Tres lagos - El Calafate - Esperanza (StaCruz) - Rio Gallegos
R30,Tostado,Mercedes,1,100,Tostado - Ceres - Sunchales - Rafaela - Santa Fe - San Fabian - Rosario - Pergamino - Arrecifes - San Antonio De Areco - Benavidez - Lujan - Mercedes
R31,Aristobulo del Valle,Clorinda,1,200,Aristobulo del Valle - San Jose - Posadas - Ituzaingo - Corrientes - Resistencia - Formosa - Clorinda
R32,Humahuaca,Puerto Iguazu,1,400,Humahuaca - San Salvador de Jujuy - Salta - San Jose de Metan - Presidencia Roque Saenz Peña - Resistencia - Corrientes - Ituzaingo - Posadas - Jardin America - Puerto Iguazu
R33,Santa Maria,Las Toninas,1,100,Santa Maria - San Miguel de Tucuman - Choromoro - San Jose de Metan - Presidencia Roque Saenz Peña - Resistencia - Corrientes - Bellavista - Goya - La Paz - Parana - Concordia - Concepcion del Uruguay - Zarate - Campana - Benavidez - Lujan - Cañuelas - Abasto - Las Toninas
R35,Perito Moreno,Mercedes,1,200,Perito Moreno - Colonia Las Heras - Pico Truncado - Caleta Olivia - Comodoro Rivadavia - Rawson - Trelew - Puerto Madryn - Sierra Grande - San Antonio Oeste - General Conesa - Rio Colorado - Algarrobo - Bahia Blanca - Tres Arroyos - Mar Del Plata - Pinamar - Las Toninas - Abasto - Marcos Paz - Benavidez - Lujan - Mercedes
R36,La Rioja,San Luis,1,400,La Rioja - Patquia - Cordoba - Corralito - Hernando - Chucul - V. Mercedes - San Luis
R37,San Antonio de los Cobres,Choele Choel,1,400,San Antonio de los Cobres - Santa Maria - Belen - Chilecito - Patquia - San Jose de Jachal - San Juan - Villa Media Agua - Villa Tulumaya - Mendoza - Tunuyan - San Rafael - Gral. Alvear - Santa Isabel - Catriel - Sargento Vidal - Neuquen - General Roca - Choele Choel
R38,Dean Funes,Corralito,1,200,Dean Funes - Jesus Maria - Cordoba - Corralito
R39,Winifreda,San Jose de Jachal,1,100,Winifreda - Victorica - Santa Isabel - Gral. Alvear - San Rafael - Tunuyan - Mendoza - Villa Tulumaya - Villa Media Agua - San Juan - San Jose de Jachal
R40,Epuyen,Chascomus,1,200,Epuyen - El Foyel - San Carlos de Bariloche - Dina Huapi - Aguada Cecilio - San Antonio Oeste - Viedma - Bahia Blanca - Tres Arroyos - Mar Del Plata - Las Armas - Dolores - Chascomus
R42,Rio Gallegos,Vera,1,200,Rio Gallegos - Luis Piedrabuena - Puerto San Julian - Jaramillo - Caleta Olivia - Comodoro Rivadavia - Rawson - Trelew - Puerto Madryn - Sierra Grande - San Antonio Oeste - General Conesa - Rio Colorado - Algarrobo - Bahia Blanca - Tres Arroyos - Mar Del Plata - Pinamar - Las Toninas - Abasto - La Plata - CABA - Benavidez - Campana - Zarate - Concepcion del Uruguay - Concordia - Paso de Los Libres - San Jose - Posadas - Ituzaingo - Corrientes - Resistencia - Vera
R43,Cañuelas,Cordoba,1,400,Cañuelas - Lujan - Benavidez - San Antonio De Areco - Arrecifes - Pergamino - Rosario - Cañada De Gomez - Leones - San Marcos - Villa Maria - Manfredi - Cordoba
R44,Esquel,Zarate,1,100,Esquel - Tecka - J. de San Martin - Alto Rio Senguer - Rio Mayo - Perito Moreno - Colonia Las Heras - Pico Truncado - Caleta Olivia - Comodoro Rivadavia - Rawson - Trelew - Puerto Madryn - Sierra Grande - San Antonio Oeste - Viedma - Bahia Blanca - Tres Arroyos - Mar Del Plata - Las Armas - Dolores - Chascomus - Abasto - Marcos Paz - Benavidez - San Antonio De Areco - Arrecifes - Pergamino - Rosario - San Nicolas de los Arroyos - San Pedro BsAs - Baradero - Zarate
R45,San Jose de Metan,Bahia Blanca,1,200,San Jose de Metan - Choromoro - San Miguel de Tucuman - Santiago del Estero - Añatuya - Tostado - Ceres - Sunchales - Rafaela - Santa Fe - San Fabian - Rosario - Pergamino - Arrecifes - San Antonio De Areco - Benavidez - Marcos Paz - Abasto - Chascomus - Dolores - Las Armas - Mar Del Plata - Tres Arroyos - Bahia Blanca
R46,Santa Isabel,Salta,1,100,Santa Isabel - Gral. Alvear - San Rafael - Tunuyan - Mendoza - Santa Rosa (Mza) - San Luis - V. Mercedes - Chucul - Hernando - Corralito - Cordoba - Arroyito - San Francisco - Rafaela - Sunchales - Ceres - Tostado - Vera - Resistencia - Formosa - Las Lomitas - Cap Juan Page - Embarcacion - Lib Gral San Martin - San Pedro Jujuy - San Salvador de Jujuy - Salta
R47,San Antonio De Areco,Exaltacion de la Cruz,1,200,San Antonio De Areco - Arrecifes - Exaltacion de la Cruz
R48,Santiago del Estero,Goya,1,100,Santiago del Estero - Frias - Dean Funes - Jesus Maria - Cordoba - Arroyito - San Francisco - Rafaela - Santa Fe - Parana - La Paz - Goya
R49,Bajo Caracoles,Jardin America,1,400,Bajo Caracoles - Perito Moreno - Colonia Las Heras - Pico Truncado - Caleta Olivia - Comodoro Rivadavia - Rawson - Trelew - Puerto Madryn - Sierra Grande - San Antonio Oeste - General Conesa - Rio Colorado - Peru - Santa Rosa (LP) - Trenque Lauquen - Pehuajo - Rufino - Lujan - Benavidez - Campana - Zarate - Concepcion del Uruguay - Concordia - Paso de Los Libres - San Jose - Posadas - Jardin America
R50,San Rafael,Bahia Blanca,1,300,San Rafael - Gral. Alvear - Santa Isabel - Victorica - Winifreda - Santa Rosa (LP) - Trenque Lauquen - Pehuajo - Bolivar - Olavarria - Azul - Tandil - Mar Del Plata - Tres Arroyos - Bahia Blanca
R51,Chascomus,Victorica,1,200,Chascomus - Abasto - Las Toninas - Pinamar - Mar Del Plata - Tandil - Azul - Olavarria - Bolivar - Pehuajo - Trenque Lauquen - Santa Rosa (LP) - Winifreda - Victorica
R52,Las Lomitas,Cordoba,1,400,Las Lomitas - Formosa - Resistencia - Vera - Tostado - Ceres - Sunchales - Rafaela - San Francisco - Arroyito - Cordoba
R53,Leones,Usuahia,1,200,Leones - Cañada De Gomez - Rosario - Pergamino - Arrecifes - Exaltacion de la Cruz - Benavidez - CABA - La Plata - Abasto - Las Toninas - Pinamar - Mar Del Plata - Tres Arroyos - Bahia Blanca - Algarrobo - Rio Colorado - General Conesa - San Antonio Oeste - Sierra Grande - Puerto Madryn - Trelew - Rawson - Comodoro Rivadavia - Caleta Olivia - Jaramillo - Puerto San Julian - Luis Piedrabuena - Rio Gallegos - El Condor - Estacion Cullen - San Sebastian - Rio Grande - Tolhuin - Usuahia
R54,Posadas,San Salvador de Jujuy,1,100,Posadas - Ituzaingo - Corrientes - Resistencia - Presidencia Roque Saenz Peña - San Jose de Metan - Salta - San Salvador de Jujuy
R55,Concepcion del Uruguay,Zarate,1,200,Concepcion del Uruguay - Zarate
R56,La Plata,San Carlos de Bariloche,1,100,La Plata - Abasto - Chascomus - Dolores - Las Armas - Mar Del Plata - Tres Arroyos - Bahia Blanca - Viedma - San Antonio Oeste - Aguada Cecilio - Dina Huapi - San Carlos de Bariloche
R58,El Condor,Picun Leufu,1,100,El Condor - Rio Gallegos - Esperanza (StaCruz) - El Calafate - Tres lagos - Gobernador Gregores - Bajo Caracoles - Perito Moreno - Rio Mayo - Alto Rio Senguer - J. de San Martin - Tecka - Esquel - Epuyen - El Foyel - San Carlos de Bariloche - Dina Huapi - Piedra del Aguila - Picun Leufu
R59,General Conesa,Paso de Los Libres,1,400,General Conesa - Rio Colorado - Peru - Santa Rosa (LP) - Trenque Lauquen - Pehuajo - Rufino - Lujan - Benavidez - Campana - Zarate - Concepcion del Uruguay - Concordia - Paso de Los Libres
R60,San Martin de los Andes,Tostado,1,200,San Martin de los Andes - Junin de los Andes - Zapala - Chos Malal - Buta Ranquil - Malargue - San Rafael - Gral. Alvear - Santa Isabel - Victorica - Winifreda - Santa Rosa (LP) - Trenque Lauquen - Pehuajo - 9 De Julio - Bragado - Chivilcoy - Mercedes - Lujan - Cañuelas - Abasto - La Plata - CABA - Benavidez - Campana - Zarate - Concepcion del Uruguay - Concordia - Parana - Santa Fe - Rafaela - Sunchales - Ceres - Tostado
R61,Chacabuco,Esquel,1,200,Chacabuco - Lujan - Cañuelas - Abasto - Chascomus - Dolores - Las Armas - Mar Del Plata - Tres Arroyos - Bahia Blanca - Viedma - San Antonio Oeste - Sierra Grande - Puerto Madryn - Trelew - Rawson - Comodoro Rivadavia - Caleta Olivia - Pico Truncado - Colonia Las Heras - Perito Moreno - Rio Mayo - Alto Rio Senguer - J. de San Martin - Tecka - Esquel
R62,San Jose de Metan,Paso de Los Libres,1,100,San Jose de Metan - Presidencia Roque Saenz Peña - Resistencia - Corrientes - Ituzaingo - Posadas - San Jose - Paso de Los Libres
R63,Chacabuco,Sunchales,1,400,Chacabuco - Lujan - Benavidez - San Antonio De Areco - Arrecifes - Pergamino - Rosario - San Fabian - Santa Fe - Rafaela - Sunchales
R64,Caleta Olivia,Exaltacion de la Cruz,1,400,Caleta Olivia - Pico Truncado - Colonia Las Heras - Perito Moreno - Rio Mayo - Alto Rio Senguer - J. de San Martin - Tecka - Esquel - Epuyen - El Foyel - San Carlos de Bariloche - Dina Huapi - Aguada Cecilio - San Antonio Oeste - Viedma - Bahia Blanca - Tres Arroyos - Mar Del Plata - Las Armas - Dolores - Chascomus - Abasto - Marcos Paz - Benavidez - San Antonio De Areco - Arrecifes - Exaltacion de la Cruz
R66,Salvador Mazza,Ceres,1,400,Salvador Mazza - Embarcacion - Cap Juan Page - Las Lomitas - Formosa - Resistencia - Vera - Tostado - Ceres
R67,Bahia Blanca,Epuyen,1,300,Bahia Blanca - Viedma - San Antonio Oeste - Aguada Cecilio - Dina Huapi - San Carlos de Bariloche - El Foyel - Epuyen
R68,Corrientes,Puerto Madryn,1,200,Corrientes - Ituzaingo - Posadas - San Jose - Paso de Los Libres - Concordia - Concepcion del Uruguay - Zarate - Campana - Benavidez - Marcos Paz - Abasto - Chascomus - Dolores - Las Armas - Mar Del Plata - Tres Arroyos - Bahia Blanca - Viedma - San Antonio Oeste - Sierra Grande - Puerto Madryn
R69,Sunchales,Colonia Las Heras,1,100,Sunchales - Rafaela - Santa Fe - Parana - Concordia - Concepcion del Uruguay - Zarate - Campana - Benavidez - CABA - La Plata - Abasto - Las Toninas - Pinamar - Mar Del Plata - Tres Arroyos - Bahia Blanca - Algarrobo - Rio Colorado - General Conesa - San Antonio Oeste - Sierra Grande - Puerto Madryn - Trelew - Rawson - Comodoro Rivadavia - Caleta Olivia - Pico Truncado - Colonia Las Heras
R70,El Calafate,Usuahia,1,200,El Calafate - Esperanza (StaCruz) - Rio Gallegos - El Condor - Estacion Cullen - San Sebastian - Rio Grande - Tolhuin - Usuahia
R71,San Jose de Jachal,Jaramillo,1,300,San Jose de Jachal - San Juan - Villa Media Agua - Villa Tulumaya - Mendoza - Tunuyan - San Rafael - Gral. Alvear - Santa Isabel - Victorica - Winifreda - Santa Rosa (LP) - Peru - Rio Colorado - General Conesa - San Antonio Oeste - Sierra Grande - Puerto Madryn - Trelew - Rawson - Comodoro Rivadavia - Caleta Olivia - Jaramillo
R72,Tres Arroyos,Pinamar,1,300,Tres Arroyos - Mar Del Plata - Pinamar
R73,Catamarca,La Plata,1,200,Catamarca - Concepcion - San Miguel de Tucuman - Choromoro - San Jose de Metan - Presidencia Roque Saenz Peña - Resistencia - Corrientes - Bellavista - Goya - La Paz - Parana - Concordia - Concepcion del Uruguay - Zarate - Campana - Benavidez - Marcos Paz - Abasto - La Plata
R74,Resistencia,Salvador Mazza,1,200,Resistencia - Formosa - Las Lomitas - Cap Juan Page - Embarcacion - Salvador Mazza
R76,La Rioja,Presidencia Roque Saenz Peña,1,300,La Rioja - Catamarca - Concepcion - San Miguel de Tucuman - Choromoro - San Jose de Metan - Presidencia Roque Saenz Peña
R77,Arroyito,San Salvador de Jujuy,1,300,Arroyito - San Francisco - Rafaela - Santa Fe - Parana - La Paz - Goya - Bellavista - Corrientes - Resistencia - Presidencia Roque Saenz Peña - San Jose de Metan - Salta - San Salvador de Jujuy
R78,Chilecito,V. Mercedes,1,200,Chilecito - Belen - Santa Maria - San Antonio de los Cobres - La Quiaca - Humahuaca - San Salvador de Jujuy - Salta - San Jose de Metan - Choromoro - San Miguel de Tucuman - Santiago del Estero - Frias - Dean Funes - Jesus Maria - Cordoba - Corralito - Hernando - Chucul - V. Mercedes
R81,Jardin America,Chivilcoy,1,100,Jardin America - Posadas - San Jose - Paso de Los Libres - Concordia - Concepcion del Uruguay - Zarate - Campana - Benavidez - Lujan - Mercedes - Chivilcoy
R82,Santiago del Estero,Vera,1,300,Santiago del Estero - Frias - Dean Funes - Jesus Maria - Cordoba - Arroyito - San Francisco - Rafaela - Sunchales - Ceres - Tostado - Vera
R85,Puerto San Julian,San Nicolas de los Arroyos,1,200,Puerto San Julian - Jaramillo - Caleta Olivia - Comodoro Rivadavia - Rawson - Trelew - Puerto Madryn - Sierra Grande - San Antonio Oeste - General Conesa - Rio Colorado - Algarrobo - Bahia Blanca - Tres Arroyos - Mar Del Plata - Pinamar - Las Toninas - Abasto - La Plata - CABA - Benavidez - Campana - Zarate - Baradero - San Pedro BsAs - San Nicolas de los Arroyos
R86,Resistencia,El Foyel,1,300,Resistencia - Presidencia Roque Saenz Peña - San Jose de Metan - Choromoro - San Miguel de Tucuman - Concepcion - Catamarca - La Rioja - Patquia - San Jose de Jachal - San Juan - Villa Media Agua - Villa Tulumaya - Mendoza - Tunuyan - San Rafael - Malargue - Buta Ranquil - Chos Malal - Zapala - Junin de los Andes - San Martin de los Andes - Villa La Angostura - Dina Huapi - San Carlos de Bariloche - El Foyel
R87,Perito Moreno,Caleta Olivia,1,200,Perito Moreno - Colonia Las Heras - Pico Truncado - Caleta Olivia
R88,Peru,Chivilcoy,1,300,Peru - Santa Rosa (LP) - Trenque Lauquen - Pehuajo - 9 De Julio - Bragado - Chivilcoy
R89,Formosa,Patquia,1,300,Formosa - Resistencia - Presidencia Roque Saenz Peña - San Jose de Metan - Choromoro - San Miguel de Tucuman - Concepcion - Catamarca - La Rioja - Patquia
R90,Dean Funes,Choromoro,1,100,Dean Funes - Frias - Santiago del Estero - San Miguel de Tucuman - Choromoro
R91,Bolivar,Marcos Paz,1,200,Bolivar - Pehuajo - 9 De Julio - Bragado - Chivilcoy - Mercedes - Lujan - Cañuelas - Abasto - Marcos Paz
R92,El Calafate,Estacion Cullen,1,200,El Calafate - Esperanza (StaCruz) - Rio Gallegos - El Condor - Estacion Cullen
R94,Santa Maria,CABA,1,400,Santa Maria - Belen - Chilecito - Patquia - Cordoba - Manfredi - Villa Maria - San Marcos - Leones - Cañada De Gomez - Rosario - Pergamino - Arrecifes - San Antonio De Areco - Benavidez - CABA
R95,Luis Piedrabuena,Chacabuco,1,300,Luis Piedrabuena - Rio Gallegos - Esperanza (StaCruz) - El Calafate - Tres lagos - Gobernador Gregores - Bajo Caracoles - Perito Moreno - Rio Mayo - Alto Rio Senguer - J. de San Martin - Tecka - Esquel - Epuyen - El Foyel - San Carlos de Bariloche - Dina Huapi - Aguada Cecilio - San Antonio Oeste - Viedma - Bahia Blanca - Tres Arroyos - Mar Del Plata - Las Armas - Dolores - Chascomus - Abasto - Cañuelas - Lujan - Chacabuco
R96,Chascomus,San Carlos de Bariloche,1,400,Chascomus - Dolores - Las Armas - Mar Del Plata - Tres Arroyos - Bahia Blanca - Viedma - San Antonio Oeste - Aguada Cecilio - Dina Huapi - San Carlos de Bariloche
R97,Winifreda,Epuyen,1,400,Winifreda - Victorica - Santa Isabel - Catriel - Sargento Vidal - Neuquen - Arroyito (Nqn) - Picun Leufu - Piedra del Aguila - Dina Huapi - San Carlos de Bariloche - El Foyel - Epuyen
R98,Arroyito (Nqn),Paso de Los Libres,1,400,Arroyito (Nqn) - Neuquen - General Roca - Choele Choel - Rio Colorado - Peru - Santa Rosa (LP) - Trenque Lauquen - Pehuajo - Rufino - Lujan - Benavidez - Campana - Zarate - Concepcion del Uruguay - Concordia - Paso de Los Libres
R99,Estacion Cullen,Rio Grande,1,400,Estacion Cullen - San Sebastian - Rio Grande
R100,Campana,San Fabian,1,200,Campana - Zarate - Baradero - San Pedro BsAs - San Nicolas de los Arroyos - Rosario - San Fabian
